date,description,amount
2025-09-03,Software Subscription,-76.91
2025-12-29,Doctor Visit Copay,-481.78
2025-08-21,Whole Foods Market,-439.69
2025-07-25,Apple iTunes,-166.7
2025-11-26,Gym Membership,-365.36
2025-12-25,Internet Service,-176.08
2026-05-11,Grocery Store,-197.09
2025-10-02,Flight Booking,-85.49
2025-08-18,Amazon Purchase,-69.47
2025-07-31,Software Subscription,-237.32
2025-08-03,Grocery Store,-38.07
2026-01-08,Netflix Subscription,-422.36
2025-10-17,Electric Bill,-244.9
2026-03-02,Insurance Premium,-89.09
2025-07-04,Shell Gas Station,-456.95
2026-05-25,Doctor Visit Copay,-44.6
2025-09-23,Walmart Supercenter,-316.92
2025-09-24,Gym Membership,-415.43
2025-08-22,Netflix Subscription,-177.3
2026-04-16,Apple iTunes,-65.02
2026-02-24,Shell Gas Station,-283.54
2025-09-11,Starbucks Coffee,-406.5
2025-08-09,Flight Booking,-356.25
2026-05-28,CVS Pharmacy,-31.35
2026-02-18,Starbucks Coffee,-278.92
2026-02-05,Grocery Store,-425
2026-05-28,Apple iTunes,-131.28
2026-01-20,Parking Fee,-325.23
2025-10-10,Grocery Store,-418.43
2025-07-19,Software Subscription,-134.75
2025-08-07,Walmart Supercenter,-16.24
2025-11-23,Spotify Premium,-331.65
2026-03-16,Spotify Premium,-88.69
2026-03-19,Walmart Supercenter,-354.31
2025-07-10,Payroll Direct Deposit,6816.59
2026-01-25,Insurance Premium,-486.71
2025-07-23,Target Store,-493.48
2026-01-24,Spotify Premium,-139.05
2025-10-22,Grocery Store,-278.33
2026-01-19,Parking Fee,-19.73
2025-09-18,Apple iTunes,-367.55
2025-10-21,Whole Foods Market,-271.72
2026-02-18,Insurance Premium,-23.98
2026-04-30,Spotify Premium,-29.86
2026-05-01,Doctor Visit Copay,-149.18
2026-03-05,Whole Foods Market,-68.34
2025-11-12,Amazon Purchase,-494.93
2026-04-24,Target Store,-127.96
2025-11-14,Amazon Purchase,-159.18
2025-07-14,Chipotle Mexican Grill,-87.43
2025-11-22,Grocery Store,-214
2026-02-11,Starbucks Coffee,-368.35
2026-05-03,Parking Fee,-223.26
2026-04-10,Whole Foods Market,-189.01
2025-09-16,Shell Gas Station,-208.01
2025-11-10,Rent Payment,-1485.8
2026-02-18,Chipotle Mexican Grill,-301.36
2026-01-28,Target Store,-427.15
2026-02-18,CVS Pharmacy,-312.11
2025-10-09,Target Store,-471.58
2026-04-14,Electric Bill,-194.08
2025-07-16,Gym Membership,-345
2026-04-09,Grocery Store,-49.11
2025-09-01,Shell Gas Station,-468.19
2025-10-31,Starbucks Coffee,-388.82
2025-07-10,CVS Pharmacy,-44.85
2025-10-05,Home Depot,-133.31
2025-08-08,Spotify Premium,-247.9
2026-05-28,Walmart Supercenter,-171.68
2025-09-16,Restaurant Dinner,-197.22
2025-09-08,Starbucks Coffee,-234.1
2025-10-02,Amazon Purchase,-293.85
2026-02-05,Restaurant Dinner,-293.04
2026-05-26,Rent Payment,-2317.7
2026-03-14,Walmart Supercenter,-132.08
2025-12-19,Shell Gas Station,-269.59
2025-10-09,Hotel Stay,-491.88
2026-01-21,Home Depot,-324.11
2025-08-06,Amazon Purchase,-481.37
2026-05-07,Payroll Direct Deposit,3337.27
2025-12-29,Whole Foods Market,-291.89
2026-02-07,Whole Foods Market,-61.14
2026-03-06,Whole Foods Market,-434.3
2026-03-23,Uber Ride,-285.04
2026-03-06,Gas Station,-329.33
2025-10-08,Parking Fee,-215.11
2026-05-26,Doctor Visit Copay,-384.1
2026-03-29,Starbucks Coffee,-399.81
2026-04-10,Gas Station,-319.27
2026-05-06,Dental Cleaning,-280.96
2025-10-16,Netflix Subscription,-484.88
2026-02-18,Flight Booking,-46.55
2025-08-13,Apple iTunes,-246.52
2026-03-26,Parking Fee,-460.21
2025-07-09,Payroll Direct Deposit,4430.33
2025-08-01,Dental Cleaning,-496.2
2025-11-23,Whole Foods Market,-417.59
2025-10-25,Shell Gas Station,-183.19
2025-07-08,Netflix Subscription,-467.82
2026-01-03,Amazon Purchase,-102.38
2026-02-17,Apple iTunes,-352.07
2026-01-17,Electric Bill,-443.15
2025-08-08,Dental Cleaning,-497.12
2026-01-12,Rent Payment,-1773.39
2026-02-08,Payroll Direct Deposit,7964.97
2025-08-31,Payroll Direct Deposit,7263.78
2026-04-25,Internet Service,-36.18
2025-12-22,Target Store,-102.78
2025-12-13,Starbucks Coffee,-332.4
2025-08-15,Starbucks Coffee,-232.21
2025-10-13,Chipotle Mexican Grill,-93.11
2025-10-25,Software Subscription,-375.13
2025-11-17,Electric Bill,-429.52
2026-03-20,Gas Station,-287.19
2026-02-11,Spotify Premium,-357.88
2025-10-08,Dental Cleaning,-475.45
2025-09-10,Amazon Purchase,-127.35
2026-04-22,Dental Cleaning,-269.54
2025-07-07,Gym Membership,-73.33
2026-01-05,Restaurant Dinner,-309.62
2025-10-03,Whole Foods Market,-17.16
2025-10-02,Target Store,-112.69
2025-09-20,Parking Fee,-188.44
2025-10-09,Netflix Subscription,-206.4
2026-05-25,Parking Fee,-270.58
2025-10-21,Whole Foods Market,-196.98
2025-07-11,Insurance Premium,-269.04
2025-12-12,Gym Membership,-34.67
2026-03-25,Restaurant Dinner,-177.97
2025-11-27,Spotify Premium,-199.5
2026-02-09,Whole Foods Market,-363.89
2025-09-29,Dental Cleaning,-159.08
2025-09-24,Dental Cleaning,-206.89
2025-08-05,Starbucks Coffee,-317.61
2025-07-10,Flight Booking,-35.58
2026-03-20,Internet Service,-284.89
2026-03-25,Shell Gas Station,-462.55
2025-07-28,CVS Pharmacy,-326.02
2026-01-20,Hotel Stay,-352.96
2026-01-29,Spotify Premium,-170.7
2026-05-30,Starbucks Coffee,-150.78
2025-11-24,Netflix Subscription,-330.23
2025-10-19,Electric Bill,-343.31
2026-01-09,Insurance Premium,-317.53
2025-09-11,Flight Booking,-418.69
2025-10-24,Gym Membership,-167.12
2026-04-28,Amazon Purchase,-70.74
2025-09-10,Amazon Purchase,-304.76
2025-12-21,Target Store,-431.07
2026-04-01,Chipotle Mexican Grill,-436.98
2026-04-29,Chipotle Mexican Grill,-108.61
2025-07-03,Target Store,-231.92
2026-05-26,Chipotle Mexican Grill,-243.73
2026-04-09,Internet Service,-289.07
2026-01-05,Whole Foods Market,-129.36
2025-08-05,Dental Cleaning,-65.51
2026-04-14,Target Store,-59.69
2025-12-30,Internet Service,-349.42
2026-05-04,Shell Gas Station,-428.69
2025-09-03,Apple iTunes,-326.67
2026-04-04,Parking Fee,-222.03
2025-12-05,Gas Station,-171.53
2026-01-02,Doctor Visit Copay,-301.86
2026-03-05,Flight Booking,-413.97
2026-01-01,Doctor Visit Copay,-113.08
2025-11-02,Dental Cleaning,-233.87
2025-11-13,Payroll Direct Deposit,7387.47
2026-03-10,Uber Ride,-51.91
2025-07-26,Shell Gas Station,-62.35
2025-09-10,Restaurant Dinner,-270.78
2025-07-07,Target Store,-269.25
2025-12-19,Insurance Premium,-354.51
2025-07-19,Grocery Store,-158.69
2026-01-30,Electric Bill,-187.26
2026-03-21,Parking Fee,-352.13
2025-11-13,Apple iTunes,-278.61
2026-04-07,Dental Cleaning,-315.27
2025-12-10,Doctor Visit Copay,-122.28
2026-04-15,Doctor Visit Copay,-37.74
2025-12-17,Spotify Premium,-31.48
2025-10-16,Electric Bill,-452.3
2025-12-07,Flight Booking,-383.14
2025-10-15,Grocery Store,-48.64
2025-09-27,Walmart Supercenter,-90.7
2025-08-15,Grocery Store,-330.01
2026-02-20,Uber Ride,-9.25
2026-04-16,Home Depot,-217.52
2025-08-10,Electric Bill,-52.14
2025-09-06,Uber Ride,-340.28
2025-07-03,Chipotle Mexican Grill,-332.21
2026-02-25,Netflix Subscription,-327.88
2026-04-06,Target Store,-77.92
2026-04-06,Amazon Purchase,-301.24
2025-08-06,Restaurant Dinner,-320.06
2026-02-27,Flight Booking,-416.03
2026-02-20,Dental Cleaning,-400.2
2026-02-16,Home Depot,-224.37
2026-01-27,Gas Station,-455.97
2025-12-23,Rent Payment,-1772.02
2026-04-13,Electric Bill,-393.1
2025-12-12,Rent Payment,-1850.39
2025-08-17,CVS Pharmacy,-278.2
2026-02-16,Electric Bill,-384.32
2025-12-01,Netflix Subscription,-7.55
2025-09-03,Walmart Supercenter,-139.89
2026-03-20,Apple iTunes,-123.59
2026-05-30,Amazon Purchase,-279.42
2025-11-24,Chipotle Mexican Grill,-362.04
2025-11-23,Whole Foods Market,-246.37
2026-03-14,Amazon Purchase,-311.92
2026-02-22,Starbucks Coffee,-481.33
2025-09-30,Home Depot,-141.28
2025-10-26,Insurance Premium,-257.64
2026-04-13,Starbucks Coffee,-416.38
2025-12-26,Starbucks Coffee,-333.87
2025-09-10,Uber Ride,-374.49
2026-02-27,Uber Ride,-14.98
2026-01-24,Payroll Direct Deposit,7616.6
2025-09-07,Netflix Subscription,-294.48
2025-08-21,Uber Ride,-113.07
2025-07-18,Starbucks Coffee,-158.3
2025-07-13,Starbucks Coffee,-347.56
2026-05-12,Walmart Supercenter,-73.4
2025-11-16,Chipotle Mexican Grill,-357.53
2026-03-10,Doctor Visit Copay,-119.41
2026-05-02,Parking Fee,-204.7
2026-05-19,Shell Gas Station,-416.42
2025-12-10,Parking Fee,-72.58
2026-02-25,Uber Ride,-338.54
2025-10-19,Shell Gas Station,-251.68
2025-07-24,Electric Bill,-340.87
2025-07-22,Shell Gas Station,-247.35
2026-03-02,Starbucks Coffee,-481.57
2025-10-27,Chipotle Mexican Grill,-386.25
2026-03-02,Electric Bill,-197.24
2025-10-10,Hotel Stay,-204.82
2026-05-17,Whole Foods Market,-345.17
2025-07-08,Internet Service,-488.44
2026-01-24,Home Depot,-58.75
2026-03-17,Chipotle Mexican Grill,-460.39
2025-09-04,Doctor Visit Copay,-28.66
2026-01-24,Software Subscription,-282.8
2025-12-02,Doctor Visit Copay,-49.2
2025-09-16,Chipotle Mexican Grill,-241.16
2025-09-09,Starbucks Coffee,-277.69
2025-10-16,Walmart Supercenter,-407.51
2025-08-08,Uber Ride,-330.05
2026-03-15,CVS Pharmacy,-254.75
2025-11-03,Electric Bill,-398.24
2025-07-30,Internet Service,-434.91
2025-10-28,Insurance Premium,-478.12
2026-04-14,Software Subscription,-220.92
2026-05-18,Rent Payment,-1585.07
2026-05-21,Hotel Stay,-484.46
2025-11-03,CVS Pharmacy,-347.64
2025-08-06,Uber Ride,-134.25
2025-07-17,Software Subscription,-282.17
2026-04-18,Netflix Subscription,-427.9
2025-08-18,Internet Service,-332.67
2026-01-28,Parking Fee,-94.26
2026-01-03,Uber Ride,-351.68
2025-07-01,Hotel Stay,-413.07
2026-05-26,Dental Cleaning,-74.41
2025-10-23,Shell Gas Station,-39.3
2025-08-22,Netflix Subscription,-486.51
2025-11-13,Apple iTunes,-149.48
2025-09-05,Gym Membership,-19.48
2026-01-10,Target Store,-156.76
2026-05-04,Hotel Stay,-405.27
2025-07-07,CVS Pharmacy,-115.96
2026-01-06,Chipotle Mexican Grill,-221.93
2026-05-14,Apple iTunes,-65.71
2025-11-11,Shell Gas Station,-427.93
2025-07-20,CVS Pharmacy,-128.51
2025-12-02,Gas Station,-40.08
2025-11-23,Target Store,-489.94
2025-11-30,Payroll Direct Deposit,5014.49
2026-01-16,Uber Ride,-231.99
2026-04-24,Chipotle Mexican Grill,-276.89
2025-10-26,Restaurant Dinner,-251.83
2025-12-12,Dental Cleaning,-148.19
2026-01-06,Software Subscription,-387.48
2025-10-10,Software Subscription,-223.79
2026-05-28,Doctor Visit Copay,-431.07
2025-07-31,Payroll Direct Deposit,5964.07
2026-02-26,Flight Booking,-296.57
2025-07-29,Rent Payment,-2478.12
2025-10-27,Shell Gas Station,-23.23
2026-04-20,CVS Pharmacy,-438.34
2025-09-21,Insurance Premium,-220.44
2026-03-09,Home Depot,-315.28
2026-02-19,Uber Ride,-325.66
2025-09-15,Software Subscription,-344.14
2025-10-31,CVS Pharmacy,-46.5
2025-12-24,Gym Membership,-244.02
2025-09-27,Dental Cleaning,-202.43
2025-07-12,Internet Service,-349.11
2025-10-06,Software Subscription,-432.93
2026-02-16,Restaurant Dinner,-121.87
2026-04-30,Amazon Purchase,-411.8
2026-05-14,Software Subscription,-470.46
2026-01-29,Parking Fee,-334.24
2025-08-13,Rent Payment,-2238.91
2025-08-08,Home Depot,-55.86
2026-02-18,Grocery Store,-382.91
2026-01-23,Internet Service,-44.32
2025-07-13,CVS Pharmacy,-440.81
2025-09-19,Insurance Premium,-483.3
2026-04-30,Amazon Purchase,-78.53
2026-05-26,Uber Ride,-376.91
2025-08-19,Gym Membership,-388.69
2026-02-08,Doctor Visit Copay,-74.62
2026-01-10,Hotel Stay,-99.45
2025-07-06,Doctor Visit Copay,-291.42
2026-05-25,Gym Membership,-484.15
2026-05-19,Dental Cleaning,-483.09
2026-02-01,Rent Payment,-2530.23
2026-01-06,Gas Station,-421.43
2026-02-22,Starbucks Coffee,-54.16
2025-08-16,Walmart Supercenter,-319.45
2025-12-19,Walmart Supercenter,-331.64
2026-02-05,Uber Ride,-217.5
2026-02-16,Gym Membership,-116.99
2025-11-09,Rent Payment,-2918.47
2025-09-24,Amazon Purchase,-488.08
2026-02-17,Netflix Subscription,-405.72
2026-01-31,Starbucks Coffee,-247.77
2026-04-29,Internet Service,-146.6
2025-07-03,Uber Ride,-166.47
2025-08-10,Rent Payment,-1890.34
2025-09-12,Netflix Subscription,-9.6
2026-02-14,Electric Bill,-325.56
2026-02-25,Internet Service,-274.78
2026-04-09,Walmart Supercenter,-364.84
2025-11-14,Doctor Visit Copay,-117.42
2025-12-11,Flight Booking,-389.5
2026-01-30,Dental Cleaning,-313.97
2026-01-05,Grocery Store,-341.89
2025-11-28,Parking Fee,-165.22
2025-12-24,Grocery Store,-121.58
2025-09-16,Uber Ride,-86.28
2026-04-18,Netflix Subscription,-258.28
2025-08-09,Payroll Direct Deposit,7434.02
2026-02-10,Electric Bill,-71.54
2026-04-10,Amazon Purchase,-133.76
2026-02-04,Chipotle Mexican Grill,-261.9
2025-09-27,Amazon Purchase,-38.5
2026-01-22,Whole Foods Market,-428.23
2025-11-28,Starbucks Coffee,-379.26
2025-09-15,Gas Station,-392.79
2026-05-15,Gym Membership,-442.27
2026-01-10,Internet Service,-106.33
2025-07-02,Internet Service,-377.59
2025-11-07,CVS Pharmacy,-307.96
2025-10-28,Insurance Premium,-214.66
2026-04-24,Restaurant Dinner,-73.24
2025-11-10,Internet Service,-167.79
2025-11-14,Netflix Subscription,-440.65
2025-12-21,Walmart Supercenter,-311.04
2026-05-13,Hotel Stay,-133.67
2026-04-04,Parking Fee,-22.8
2026-05-25,Parking Fee,-301.14
2025-10-23,Chipotle Mexican Grill,-325.92
2026-05-16,Restaurant Dinner,-435.71
2025-11-28,Amazon Purchase,-439
2026-05-02,Shell Gas Station,-326.32
2026-05-11,Walmart Supercenter,-184.66
2025-07-12,Home Depot,-490.96
2025-12-15,Apple iTunes,-48.54
2025-10-29,Starbucks Coffee,-133.26
2025-07-18,Shell Gas Station,-48.74
2025-08-27,CVS Pharmacy,-182.2
2026-03-12,Restaurant Dinner,-171.36
2025-11-26,Whole Foods Market,-427.45
2026-02-12,Target Store,-331.49
2026-04-18,Restaurant Dinner,-38.57
2025-07-27,Netflix Subscription,-473.8
2026-05-22,CVS Pharmacy,-230.67
2025-09-13,Home Depot,-90.39
2025-09-22,Electric Bill,-115.56
2026-04-22,Dental Cleaning,-424.71
2025-08-12,Walmart Supercenter,-51.55
2025-11-13,Software Subscription,-345.38
2026-02-27,Insurance Premium,-357.86
2025-07-31,Dental Cleaning,-293.84
2026-05-29,Spotify Premium,-420.3
2026-05-11,Internet Service,-28.98
2025-11-24,Dental Cleaning,-116.43
2026-01-07,Dental Cleaning,-446.14
2026-05-17,Flight Booking,-110.41
2025-11-28,Gas Station,-321.04
2025-07-21,Spotify Premium,-462.37
2025-10-19,Insurance Premium,-247.63
2025-08-01,Payroll Direct Deposit,6247.9
2025-12-21,Whole Foods Market,-120.13
2026-01-17,Apple iTunes,-491.55
2026-05-12,Parking Fee,-187.73
2026-04-01,Flight Booking,-137.55
2026-01-18,Flight Booking,-438.28
2025-11-15,Home Depot,-498.2
2025-10-03,Rent Payment,-2873.77
2025-10-28,Whole Foods Market,-474.17
2026-03-07,Shell Gas Station,-407.64
2026-03-12,Target Store,-138.26
2025-12-31,Shell Gas Station,-194.77
2026-02-17,Whole Foods Market,-397.17
2025-10-09,Internet Service,-369.23
2026-03-18,Uber Ride,-244.08
2026-02-28,Electric Bill,-60.07
2025-07-07,Insurance Premium,-453.39
2026-01-20,Gym Membership,-464.74
2026-05-04,Hotel Stay,-455.36
2026-05-24,Starbucks Coffee,-91.59
2026-05-18,Starbucks Coffee,-413.06
2025-12-26,Internet Service,-106.66
2026-01-26,Chipotle Mexican Grill,-64.2
2025-11-02,Doctor Visit Copay,-306.03
2025-08-07,Shell Gas Station,-209.01
2026-05-17,Flight Booking,-16.68
2025-09-08,Payroll Direct Deposit,6471.82
2025-07-20,Insurance Premium,-327.57
2026-05-07,Insurance Premium,-293.61
2026-05-01,Gas Station,-449.96
2026-01-01,Starbucks Coffee,-41.32
2026-02-07,Flight Booking,-176.82
2025-09-05,Doctor Visit Copay,-417.57
2026-02-27,Internet Service,-32.04
2026-02-27,Target Store,-479.56
2026-04-02,Home Depot,-438.03
2026-05-06,Rent Payment,-1491.31
2026-03-13,Hotel Stay,-457.67
2025-08-18,Home Depot,-94.83
2025-07-10,Starbucks Coffee,-162.43
2026-03-08,Amazon Purchase,-48.82
2026-01-29,Doctor Visit Copay,-459.81
2026-01-06,Gas Station,-284.16
2026-02-26,Target Store,-421.67
2026-01-26,Amazon Purchase,-358.31
2025-10-04,Starbucks Coffee,-413.54
2026-02-16,Parking Fee,-10.72
2025-09-21,Spotify Premium,-429.63
2026-04-25,Restaurant Dinner,-363.65
2026-01-16,Dental Cleaning,-338.67
2026-05-14,Software Subscription,-378.04
2026-04-02,Insurance Premium,-136.69
2025-12-10,Parking Fee,-313.87
2026-05-18,Starbucks Coffee,-67.03
2026-02-06,Parking Fee,-344.76
2026-02-23,Rent Payment,-2087.06
2026-01-01,Walmart Supercenter,-61.89
2025-07-31,Insurance Premium,-408.73
2025-11-05,Chipotle Mexican Grill,-274.64
2026-05-18,Dental Cleaning,-79.32
2025-11-06,Walmart Supercenter,-385.22
2026-04-22,Target Store,-19.46
2025-09-08,Rent Payment,-2486.02
2026-03-12,Hotel Stay,-366.33
2025-09-05,Chipotle Mexican Grill,-397.58
2025-10-16,Electric Bill,-278.3
2025-10-14,Walmart Supercenter,-155.96
2025-07-15,Payroll Direct Deposit,3124.8
2026-04-26,Rent Payment,-2919.51
2026-02-18,Software Subscription,-263.62
2025-07-29,Chipotle Mexican Grill,-421.46
2025-10-26,Uber Ride,-354.08
2026-03-19,Whole Foods Market,-243.07
2026-05-23,Internet Service,-7.69
2026-03-13,Gym Membership,-398.18
2025-07-06,Internet Service,-87.11
2026-03-17,Apple iTunes,-177.24
2025-09-09,Payroll Direct Deposit,4894.81
2026-02-10,Uber Ride,-301.63
2026-03-03,Grocery Store,-371.24
2025-12-22,Software Subscription,-399.35
2026-03-17,Gas Station,-40.54
2026-02-27,Amazon Purchase,-103.66
2025-08-31,Spotify Premium,-301.44
2026-01-09,Doctor Visit Copay,-89.18
2026-05-31,Parking Fee,-493.72
2025-07-22,Gas Station,-66.19
2026-05-03,Apple iTunes,-253.98
2026-01-20,Whole Foods Market,-488.09
2025-09-12,Grocery Store,-82.87
2025-12-12,Gym Membership,-63.83
2026-04-19,CVS Pharmacy,-276.17
2025-12-15,Uber Ride,-395.25
2025-12-02,Restaurant Dinner,-377.77
2025-11-24,Restaurant Dinner,-23.82
2025-07-26,Spotify Premium,-276.4
2025-07-18,Netflix Subscription,-48.15
2025-09-04,Insurance Premium,-402.73
2025-08-25,Walmart Supercenter,-367.89
2026-02-07,Chipotle Mexican Grill,-258.19
2026-04-23,Insurance Premium,-318.4
2025-09-02,Gym Membership,-129.16
2025-07-27,Shell Gas Station,-398.78
2025-09-14,CVS Pharmacy,-127.75
2025-09-08,Starbucks Coffee,-183.47
2025-10-28,Parking Fee,-387.79
2026-04-27,Whole Foods Market,-85.63
2026-01-29,CVS Pharmacy,-165.08
2026-05-05,Shell Gas Station,-335.58
2026-01-31,Electric Bill,-84.47
2026-04-01,Whole Foods Market,-447.93
2026-03-09,Spotify Premium,-61.07
2026-02-13,Shell Gas Station,-423.83
2025-11-12,Shell Gas Station,-392.75
2026-02-26,Starbucks Coffee,-258.17
2025-11-13,Hotel Stay,-416.65
2025-12-20,Gym Membership,-470.17
2025-11-18,Insurance Premium,-151.03
2026-03-18,Payroll Direct Deposit,6753.28
2026-02-01,Home Depot,-24.87
2026-02-06,Grocery Store,-285.96
2026-03-04,Gas Station,-442.4
2025-07-10,CVS Pharmacy,-413.63
2026-04-12,Grocery Store,-47.79
2025-11-15,Walmart Supercenter,-43.67
2026-02-15,Starbucks Coffee,-411.13
2026-02-03,Electric Bill,-327.54
2026-01-04,Electric Bill,-348.19
2026-05-03,Payroll Direct Deposit,6097.15
2025-08-04,Dental Cleaning,-42.37
2025-07-05,Gym Membership,-179.72
2026-04-05,Hotel Stay,-375.84
2026-05-14,Target Store,-189.34
2025-12-15,Apple iTunes,-198.98
2026-05-04,Amazon Purchase,-72.88
2025-07-11,Grocery Store,-39.94
2026-05-27,Amazon Purchase,-305.73
2025-08-08,Payroll Direct Deposit,4464.75
2026-01-20,Amazon Purchase,-365.38
2025-10-04,Flight Booking,-484.32
2025-07-26,Spotify Premium,-369.85
2025-08-05,Electric Bill,-230.8
2026-03-12,Target Store,-465.88
2025-11-25,Gas Station,-47.65
2025-09-23,Gym Membership,-172.09
2026-04-22,Spotify Premium,-22.54
2026-03-22,Uber Ride,-304.44
2025-12-22,Insurance Premium,-358.12
2025-12-30,Netflix Subscription,-342.07
2025-12-07,Doctor Visit Copay,-151.8
2025-12-14,Restaurant Dinner,-184.86
2026-01-07,Rent Payment,-2570.14
2026-05-26,Amazon Purchase,-31.48
2025-08-04,Uber Ride,-214.94
2025-09-30,Hotel Stay,-193.83
2026-01-17,Shell Gas Station,-236.47
2025-10-15,Rent Payment,-1512.96
2026-01-23,Netflix Subscription,-243.24
2026-04-19,Parking Fee,-476.38
2026-04-22,Spotify Premium,-466.18
2025-12-25,Starbucks Coffee,-353.1
2025-10-04,Home Depot,-159.2
2026-05-16,Uber Ride,-360.08
2025-07-24,Restaurant Dinner,-496.35
2026-02-23,Payroll Direct Deposit,7257.48
2025-11-29,Hotel Stay,-268.12
2025-12-23,Internet Service,-72.04
2026-04-09,Home Depot,-434.83
2025-09-17,Chipotle Mexican Grill,-242.9
2025-07-10,Chipotle Mexican Grill,-400.55
2026-01-18,Software Subscription,-410.73
2025-12-22,Spotify Premium,-218.58
2026-03-03,Grocery Store,-382.04
2025-10-06,Home Depot,-460.78
2025-11-10,CVS Pharmacy,-281.31
2026-04-18,Gym Membership,-452.47
2026-03-09,Internet Service,-472.21
2025-12-24,CVS Pharmacy,-466.82
2026-02-17,Netflix Subscription,-492.48
2026-02-05,Doctor Visit Copay,-41.7
2026-02-07,Chipotle Mexican Grill,-201.54
2025-08-29,Whole Foods Market,-177.81
2026-05-24,Doctor Visit Copay,-353.56
2026-03-24,CVS Pharmacy,-453.79
2026-04-10,Apple iTunes,-260.79
2026-02-03,Spotify Premium,-290.18
2025-11-14,Internet Service,-336.85
2026-05-02,Parking Fee,-284.86
2026-04-16,Target Store,-232.33
2026-02-15,Netflix Subscription,-115.91
2026-01-29,Grocery Store,-7.67
2026-05-03,Doctor Visit Copay,-338.99
2026-04-18,Internet Service,-417.86
2025-10-27,Software Subscription,-295.84
2025-08-04,Netflix Subscription,-67.4
2026-03-15,Target Store,-197.98
2025-10-09,Rent Payment,-1283.86
2026-04-19,CVS Pharmacy,-464.04
2025-11-08,Netflix Subscription,-284.2
2026-05-18,Walmart Supercenter,-481.31
2025-11-25,Apple iTunes,-365.08
2025-09-23,Whole Foods Market,-455.07
2026-04-14,Restaurant Dinner,-139.72
2025-10-11,Payroll Direct Deposit,3343.58
2025-10-17,Payroll Direct Deposit,3713.27
2025-12-19,Apple iTunes,-468.63
2026-05-02,Netflix Subscription,-347.95
2026-01-31,Whole Foods Market,-466.7
2025-07-27,Uber Ride,-327.97
2025-12-24,Doctor Visit Copay,-212.23
2026-04-19,Spotify Premium,-87.18
2026-02-05,Restaurant Dinner,-269.11
2026-02-10,Electric Bill,-377.09
2026-04-03,Walmart Supercenter,-33.04
2026-01-23,Apple iTunes,-157.86
2025-12-24,Payroll Direct Deposit,5558.22
2026-04-02,Shell Gas Station,-230.81
2026-01-29,Walmart Supercenter,-65.18
2026-04-06,Home Depot,-310.87
2025-11-03,CVS Pharmacy,-116.94
2026-03-01,Payroll Direct Deposit,6637.62
2025-10-01,Rent Payment,-1891.36
2025-07-31,Uber Ride,-308.22
2025-11-29,Restaurant Dinner,-188.4
2025-07-10,Parking Fee,-263.27
2025-11-14,Rent Payment,-2805.4
2025-12-14,Apple iTunes,-453.62
2026-05-12,Software Subscription,-336.51
2025-12-22,Electric Bill,-499.86
2025-09-13,CVS Pharmacy,-398.21
2025-09-26,Gas Station,-313.13
2026-02-26,Home Depot,-403.56
2026-05-02,Dental Cleaning,-159.51
2025-12-07,Chipotle Mexican Grill,-409.8
2025-08-07,Insurance Premium,-407.4
2026-04-08,Spotify Premium,-214.35
2026-05-29,Chipotle Mexican Grill,-107.37
2025-11-22,Uber Ride,-450.22
2025-07-08,Hotel Stay,-149.82
2026-03-07,Gas Station,-181.49
2026-01-02,Apple iTunes,-430.01
2025-09-10,Electric Bill,-224.42
2025-12-16,Netflix Subscription,-390.48
2026-05-19,Walmart Supercenter,-155.21
2025-12-06,CVS Pharmacy,-18.64
2026-03-13,Grocery Store,-115.08
2025-09-22,Apple iTunes,-359.27
2026-05-25,CVS Pharmacy,-352.7
2025-11-04,Amazon Purchase,-146.72
2026-01-03,Doctor Visit Copay,-196.71
2026-03-25,Software Subscription,-38.44
2025-10-15,Shell Gas Station,-226.37
2025-12-12,Chipotle Mexican Grill,-229.39
2026-01-03,Spotify Premium,-446.8
2025-11-08,Software Subscription,-249.68
2025-09-06,Parking Fee,-273.84
2025-10-29,Grocery Store,-191.99
2025-11-05,Doctor Visit Copay,-209.84
2025-09-23,Chipotle Mexican Grill,-58.9
2025-09-22,Parking Fee,-355.1
2025-09-28,Internet Service,-326.83
2025-12-14,Insurance Premium,-153.53
2025-07-28,Gym Membership,-39.05
2025-12-16,Home Depot,-67.63
2025-12-10,Electric Bill,-159.86
2025-11-06,Walmart Supercenter,-9.45
2026-01-09,Gas Station,-186.89
2026-01-26,Grocery Store,-181.76
2025-12-30,Apple iTunes,-194.84
2025-07-02,Internet Service,-482.98
2025-12-06,Insurance Premium,-387.86
2026-02-04,Internet Service,-83.59
2025-08-26,Netflix Subscription,-255.75
2025-12-31,Amazon Purchase,-493.12
2026-03-07,Electric Bill,-122.72
2026-03-12,Gas Station,-424.35
2026-01-26,Parking Fee,-448.79
2025-11-21,Dental Cleaning,-302.75
2025-09-13,Walmart Supercenter,-474.68
2025-12-30,Restaurant Dinner,-428.03
2026-02-18,Flight Booking,-410.78
2026-02-17,Flight Booking,-388.96
2025-09-11,Shell Gas Station,-210.19
2025-07-01,Apple iTunes,-254.01
2026-03-11,Parking Fee,-137.17
2026-01-10,Parking Fee,-316.24
2025-10-14,Shell Gas Station,-103.32
2026-05-29,Doctor Visit Copay,-467.38
2026-04-19,Parking Fee,-139.61
2026-02-16,Uber Ride,-393.43
2026-05-23,Software Subscription,-292.81
2025-09-20,Starbucks Coffee,-437.27
